0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.14,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.04,0.06,0.1,0.14,0.19,0.13,0.14,0.14,0.13,0.13,0.14,0.2,0.14,0.06,0.0,0.0,0.0,0.02,0.02,0.03,0.01,0.01,0.0,0.02,0.05,0.05,0.05,0.08,0.15,0.18,0.17,0.18,0.22,0.36,0.47,0.53,0.42,0.23,0.09,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.07,0.02,0.02,0.03,0.06,0.12,0.19,0.16,0.14,0.11,0.11,0.07,0.04,0.04,0.04,0.01,0.0,0.18,0.4,0.55,0.41,0.19,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.39,0.2,0.19,0.11,0.08,0.13,0.14,0.13,0.02,0.0,0.02,0.02,0.04,0.08,0.08,0.05,0.0,0.03,0.03,0.07,0.11,0.21,0.21,0.23,0.15,0.11,0.02,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.07,0.07,0.07,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.34,0.46,0.62,0.81,0.74,0.75,0.77,0.84,0.9,0.94,0.92,0.95,0.86,0.84,0.93,1.29,1.6,1.74,1.57,1.52,1.63,2.05,2.33,2.52,2.53,2.56,2.54,2.53,2.56,2.58,2.58,2.52,2.5,2.49,2.45,2.41,2.32,2.34,2.35,2.33,2.26,2.25,2.31,2.4,2.46,2.56,2.64,2.62,2.58,2.55,2.56,2.54,2.48,2.46,2.52,2.58,2.56,2.51,2.45,2.42,2.41,2.43,2.51,2.54,2.54,2.56,2.6,2.74,2.79,2.92,2.93,2.89,2.74,2.64,2.6,2.63,2.6,2.66,2.64,2.61,2.58,2.54,2.55,2.55,2.56,2.65,2.67,2.85,2.96,3.08,2.98,2.95,2.94,3.01,3.03,3.05,3.01,2.89,2.75,2.74,2.98,3.1,3.08,2.87,2.83,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.23,0.26,0.34,0.33,0.31,0.25,0.12,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.09,0.09,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.14,0.16,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,1.54,1.71,1.9,2.1,2.12,2.13,2.12,2.14,2.14,2.13,2.12,2.02,1.84,1.62,1.55,1.67,1.83,1.88,1.84,1.77,1.83,1.91,1.99,1.96,1.94,1.92,1.94,1.84,1.69,1.54,1.4,1.31,1.25,1.22,1.23,1.29,1.34,1.39,1.35,1.33,1.3,1.34,1.42,1.47,1.5,1.52,1.57,1.65,1.7,1.77,1.76,1.69,1.55,1.45,1.43,1.43,1.45,1.44,1.45,1.45,1.42,1.4,1.38,1.39,1.35,1.3,1.22,1.09,0.86,0.73,0.7,0.83,0.87,0.92,0.92,0.91,0.89,0.93,0.98,1.02,1.06,1.04,1.04,1.03,1.05,0.95,0.85,0.88,0.99,1.11,1.09,1.11,1.09,1.14,1.17,1.22,1.19,1.03,0.8,0.61,0.71,0.86,1.02,1.0,1.02,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.07,1.98,2.29,2.79,3.13,3.19,3.14,3.1,3.01,2.93,3.01,3.1,3.11,2.8,2.5,2.28,2.73,3.1,3.34,3.53,3.71,4.03,4.08,4.27,4.42,4.65,4.74,4.79,4.68,4.49,4.29,4.22,3.97,3.85,3.64,3.86,3.96,4.05,4.11,4.18,4.26,4.25,4.31,4.36,4.42,4.42,4.48,4.39,4.33,4.34,4.57,4.71,4.71,4.65,4.6,4.56,4.47,4.38,4.33,4.36,4.52,4.63,4.69,4.51,4.51,4.47,4.59,4.41,3.97,3.28,3.0,3.07,3.45,3.55,3.73,3.8,3.98,4.08,4.16,4.13,4.11,4.18,4.34,4.32,4.3,4.08,3.7,3.5,3.62,4.03,4.13,4.0,3.9,3.85,3.85,3.79,3.77,3.72,3.44,3.02,2.66,2.73,3.02,3.21,3.28,3.28,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.11,0.13,0.12,0.14,0.16,0.17,0.12,0.17,0.18,0.14,0.05,0.0,0.0,0.05,0.15,0.18,0.15,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.09,0.04,0.03,0.03,0.08,0.08,0.12,0.08,0.04,0.03,0.02,0.06,0.07,0.12,0.13,0.12,0.1,0.05,0.09,0.06,0.05,0.0,0.0,0.0,0.08,0.1,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,1.54,1.52,1.64,1.73,1.8,1.83,1.94,2.06,2.1,2.03,1.97,1.94,1.86,1.77,1.72,1.76,1.82,1.87,1.94,2.0,2.09,2.02,2.02,1.91,1.99,1.99,2.04,1.99,1.94,1.92,1.88,1.76,1.69,1.66,1.7,1.7,1.66,1.65,1.63,1.6,1.56,1.53,1.59,1.67,1.79,1.82,1.8,1.85,1.96,2.08,2.01,1.96,1.82,1.84,1.91,2.17,2.27,2.22,2.12,2.08,2.07,2.06,2.04,2.05,1.91,1.78,1.69,1.59,1.51,1.41,1.38,1.39,1.45,1.58,1.68,1.71,1.76,1.82,1.87,1.79,1.77,1.74,1.74,1.69,1.65,1.62,1.61,1.68,1.79,1.89,1.9,1.89,1.88,1.86,1.9,1.9,1.9,1.83,1.71,1.59,1.69,1.84,2.03,2.02,2.05,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.27,1.29,1.26,1.19,1.18,1.2,1.21,1.22,1.2,1.21,1.16,1.19,1.21,1.29,1.29,1.28,1.21,1.14,1.09,1.16,1.23,1.32,1.28,1.29,1.27,1.28,1.28,1.23,1.11,0.91,0.73,0.59,0.51,0.51,0.5,0.49,0.47,0.47,0.5,0.5,0.46,0.46,0.46,0.5,0.55,0.59,0.66,0.76,0.91,1.08,1.2,1.26,1.16,0.97,0.85,0.83,0.83,0.8,0.76,0.78,0.78,0.79,0.74,0.69,0.68,0.64,0.63,0.57,0.56,0.48,0.45,0.4,0.43,0.48,0.58,0.63,0.67,0.66,0.67,0.67,0.71,0.74,0.75,0.75,0.75,0.74,0.76,0.76,0.76,0.76,0.75,0.74,0.76,0.78,0.82,0.84,0.87,0.9,0.95,1.05,1.11,1.06,0.97,0.92,0.93,0.98,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.69,0.86,1.01,1.04,0.97,0.97,1.04,1.13,1.09,0.96,1.01,1.02,1.0,0.85,0.86,0.96,1.02,1.05,1.14,1.13,1.1,0.98,0.99,1.02,0.99,0.96,0.88,0.91,0.83,0.68,0.59,0.54,0.45,0.41,0.45,0.61,0.7,0.76,0.8,0.76,0.76,0.75,0.77,0.75,0.75,0.8,0.86,0.87,0.8,0.76,0.89,0.85,0.87,0.74,0.77,0.77,0.82,0.82,0.87,0.85,0.9,0.88,0.88,0.86,0.92,0.97,1.08,1.09,1.14,1.01,0.93,0.84,0.91,0.89,0.83,0.76,0.76,0.76,0.76,0.67,0.76,0.73,0.73,0.59,0.56,0.68,0.71,0.79,0.79,0.79,0.78,0.77,0.81,0.81,0.84,0.85,0.88,0.86,0.89,0.88,0.86,0.8,0.78,0.82,0.84,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
