0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.2,0.32,0.32,0.29,0.33,0.27,0.25,0.08,0.05,0.04,0.11,0.17,0.21,0.15,0.08,0.03,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.06,0.12,0.16,0.24,0.22,0.19,0.15,0.12,0.06,0.02,0.03,0.02,0.08,0.12,0.19,0.14,0.12,0.08,0.18,0.22,0.21,0.2,0.22,0.21,0.12,0.05,0.08,0.16,0.2,0.22,0.23,0.24,0.2,0.11,0.05,0.02,0.02,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.24,0.3,0.33,0.25,0.24,0.23,0.16,0.08,0.02,0.0,0.08,0.16,0.27,0.19,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.05,0.15,0.24,0.19,0.16,0.14,0.14,0.06,0.01,0.04,0.04,0.03,0.0,0.04,0.09,0.09,0.15,0.14,0.14,0.04,0.0,0.05,0.05,0.1,0.05,0.05,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.49,0.49,0.49,0.5,0.41,0.39,0.44,0.55,0.62,0.62,0.6,0.54,0.56,0.5,0.49,0.48,0.56,0.62,0.65,0.71,0.83,0.93,0.99,1.05,1.18,1.41,1.54,1.74,1.83,1.98,1.98,2.04,2.09,2.14,2.09,2.03,1.96,1.97,1.98,2.03,2.07,2.13,2.1,2.09,2.05,2.17,2.19,2.21,2.16,2.18,2.21,2.3,2.22,2.2,2.15,2.21,2.24,2.25,2.25,2.23,2.23,2.28,2.33,2.35,2.25,2.22,2.17,2.22,2.23,2.25,2.24,2.17,2.17,2.09,2.05,1.95,2.0,2.06,2.08,2.08,2.09,2.09,2.13,2.12,2.21,2.17,2.17,2.12,2.17,2.15,2.14,2.11,2.12,2.12,2.14,2.13,2.14,2.07,2.08,2.12,2.14,2.14,2.05,2.04,2.01,2.01,1.99,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.03,0.03,0.03,0.03,0.14,0.15,0.19,0.08,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,0.01,0.06,0.05,0.12,0.1,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.05,0.1,0.06,0.06,0.0,0.0,0.01,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.13,0.09,0.05,0.06,0.06,0.12,0.09,0.14,0.09,0.06,0.06,0.1,0.17,0.3,0.5,0.62,0.63,0.58,0.53,0.68,0.72,0.59,0.25,0.16,0.38,0.6,0.59,0.37,0.42,0.47,0.49,0.31,0.22,0.33,0.49,0.75,0.97,1.06,1.02,0.94,0.86,0.82,0.74,0.73,0.73,0.76,0.78,0.74,0.83,0.92,1.01,0.96,0.85,0.88,0.87,0.73,0.54,0.46,0.51,0.54,0.62,0.64,0.69,0.44,0.44,0.39,0.48,0.48,0.43,0.53,0.59,0.72,0.72,0.7,0.65,0.56,0.61,0.61,0.58,0.54,0.46,0.51,0.39,0.48,0.43,0.35,0.35,0.39,0.45,0.32,0.26,0.28,0.28,0.26,0.25,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.0,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.07,0.06,0.08,0.04,0.03,0.02,0.04,0.03,0.02,0.0,0.0,0.02,0.06,0.06,0.06,0.05,0.06,0.07,0.04,0.03,0.0,0.03,0.07,0.09,0.11,0.14,0.14,0.09,0.06,0.05,0.12,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.4,0.5,0.47,0.44,0.36,0.36,0.37,0.31,0.32,0.38,0.48,0.46,0.42,0.43,0.61,0.73,0.87,0.88,0.84,0.81,0.79,0.82,0.78,0.81,0.75,0.76,0.75,0.79,0.85,0.83,0.91,0.9,0.92,0.82,0.78,0.63,0.49,0.35,0.34,0.46,0.71,1.02,1.18,1.1,0.88,0.83,0.94,1.05,1.05,1.03,1.04,0.91,0.65,0.43,0.43,0.54,0.7,0.78,0.91,0.94,0.91,0.9,0.86,0.88,0.72,0.61,0.55,0.62,0.75,0.79,0.86,0.91,0.97,1.03,1.06,1.09,1.08,1.04,1.06,1.06,1.04,0.99,1.04,1.12,1.12,1.1,1.04,1.12,1.12,1.15,1.1,1.05,1.02,1.01,1.04,1.04,1.0,0.94,0.92,0.87,0.85,0.83,0.78,0.75,0.78,0.84,0.87,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.33,0.33,0.32,0.31,0.34,0.34,0.38,0.35,0.37,0.33,0.33,0.27,0.28,0.25,0.26,0.22,0.23,0.2,0.31,0.38,0.49,0.54,0.59,0.65,0.67,0.79,0.89,1.01,0.99,1.0,1.01,1.09,1.18,1.23,1.19,1.1,1.0,0.96,0.95,0.87,0.78,0.62,0.54,0.5,0.56,0.62,0.72,0.78,0.86,0.85,0.8,0.68,0.57,0.48,0.49,0.61,0.81,0.98,1.06,1.09,1.03,0.94,0.69,0.41,0.18,0.11,0.13,0.19,0.22,0.25,0.29,0.34,0.41,0.43,0.49,0.49,0.55,0.54,0.59,0.55,0.56,0.57,0.6,0.61,0.55,0.52,0.52,0.53,0.52,0.52,0.53,0.56,0.57,0.6,0.59,0.58,0.56,0.55,0.51,0.48,0.45,0.47,0.47,0.48,0.47,0.47,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.03,0.05,0.05,0.02,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.15,0.25,0.27,0.18,0.15,0.19,0.25,0.22,0.15,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
